company_id,price,volume,pe_ratio,revenue,profit,employees,profit_margin,rev_per_employee,valuation_status,company_size
84,411.44,1370464,22.45,34359.51,15625.77,1092,45.48,31.4648,Fair Value,Small
85,1623.81,885332,23.1,99954.85,19952.69,72494,19.96,1.3788,Fair Value,Medium
86,1693.4,867950,44.34,41169.37,3903.53,67757,9.48,0.6076,Overvalued,Medium
87,3675.07,266472,27.95,22828.36,9247.05,27260,40.51,0.8374,Fair Value,Small
88,3224.03,497710,37.55,76485.81,8676.58,45256,11.34,1.6901,Overvalued,Small
89,4447.34,4417048,9.69,54704.63,6159.4,182547,11.26,0.2997,Undervalued,Enterprise
90,2413.85,3288729,15.14,15810.54,4042.1,86542,25.57,0.1827,Fair Value,Medium
91,686.01,4885956,36.63,38688.28,1407.27,150744,3.64,0.2566,Overvalued,Enterprise
92,3594.9,2950171,7.38,42032.5,17753.67,118025,42.24,0.3561,Undervalued,Large
93,3827.85,1010775,26.9,75629.14,8454.99,4236,11.18,17.8539,Fair Value,Small
94,2850.26,2696874,31.97,3046.47,9988.22,61968,327.86,0.0492,Overvalued,Medium
95,3877.74,658924,32.1,27632.95,18347.15,82363,66.4,0.3355,Overvalued,Medium
96,2519.6,3981185,6.03,52242.03,15548.18,32267,29.76,1.6191,Undervalued,Small
97,2661.39,4473656,19.49,27615.83,2696.98,111057,9.77,0.2487,Fair Value,Large
98,2194.95,4112595,33.64,63214.97,11351.86,15579,17.96,4.0577,Overvalued,Small
99,224.55,2390435,11.7,48704.88,8900.82,119492,18.28,0.4076,Undervalued,Large
100,628.67,531413,36.29,36809.32,15964.5,162548,43.37,0.2265,Overvalued,Enterprise
101,254.0,1452564,38.57,94971.65,14512.23,135995,15.28,0.6983,Overvalued,Large
102,3218.41,2524050,49.19,63583.79,13839.07,19685,21.77,3.2301,Overvalued,Small
103,1640.34,4265100,14.44,13864.2,6876.84,148444,49.6,0.0934,Undervalued,Large
104,2592.0,963561,42.13,56449.08,16118.78,26719,28.55,2.1127,Overvalued,Small
105,4547.08,402186,28.41,78292.45,1142.59,75169,1.46,1.0416,Fair Value,Medium
106,1321.53,3307393,21.81,71140.48,3276.54,39995,4.61,1.7787,Fair Value,Small
107,2110.88,3928464,10.51,18036.83,6778.9,3820,37.58,4.7217,Undervalued,Small
108,3802.2,1126553,38.1,97269.58,1628.47,19367,1.67,5.0224,Overvalued,Small
109,1221.11,1335202,15.61,45432.55,4776.39,146868,10.51,0.3093,Fair Value,Large
110,477.2,245271,21.71,16743.48,16620.0,161140,99.26,0.1039,Fair Value,Enterprise
111,1519.78,2315685,7.81,18839.38,18970.21,53464,100.69,0.3524,Undervalued,Medium
112,889.98,3843797,41.06,10725.26,6161.59,154517,57.45,0.0694,Overvalued,Enterprise
113,4655.52,1614542,39.5,80548.29,5363.86,51667,6.66,1.559,Overvalued,Medium
114,4059.79,4280656,38.01,13081.02,5669.86,91329,43.34,0.1432,Overvalued,Medium
115,3203.68,3030184,18.47,13387.4,5626.61,192779,42.03,0.0694,Fair Value,Enterprise
116,4370.16,176898,12.81,85196.69,815.01,150557,0.96,0.5659,Undervalued,Enterprise
117,4037.99,3395097,33.69,35115.8,18545.64,198072,52.81,0.1773,Overvalued,Enterprise
118,1014.19,388316,27.33,4054.93,4352.59,199416,107.34,0.0203,Fair Value,Enterprise
119,4473.54,2108954,13.02,6137.63,8458.08,196597,137.81,0.0312,Undervalued,Enterprise
120,2742.78,1929553,35.87,15074.87,292.77,78618,1.94,0.1917,Overvalued,Medium
121,4056.46,4188657,49.6,22125.94,17173.31,82944,77.62,0.2668,Overvalued,Medium
122,4490.85,3141341,38.62,66849.47,14650.03,164091,21.91,0.4074,Overvalued,Enterprise
123,1658.22,1139504,38.3,16575.3,18940.45,90797,114.27,0.1826,Overvalued,Medium
124,639.25,4187810,47.76,12768.56,15654.15,57296,122.6,0.2229,Overvalued,Medium
125,1216.88,2205058,14.13,76707.2,6342.76,115700,8.27,0.663,Undervalued,Large
126,2192.83,1775843,30.45,67434.47,5032.68,100725,7.46,0.6695,Overvalued,Large
127,4108.27,134701,49.08,44097.1,13984.55,131667,31.71,0.3349,Overvalued,Large
128,4317.58,3329028,12.44,55381.67,7345.84,44855,13.26,1.2347,Undervalued,Small
129,134.07,1821610,36.51,31886.42,11367.68,198856,35.65,0.1603,Overvalued,Enterprise
130,2602.66,2280712,31.36,48767.54,224.52,33424,0.46,1.4591,Overvalued,Small
131,2145.31,2439767,31.39,51160.59,1331.53,79029,2.6,0.6474,Overvalued,Medium
132,1188.33,2714235,36.4,39336.49,10753.82,132724,27.34,0.2964,Overvalued,Large
133,687.34,591036,46.83,90750.65,11364.83,51372,12.52,1.7665,Overvalued,Medium
134,1754.31,427304,40.22,2590.12,15053.91,167025,581.21,0.0155,Overvalued,Enterprise
135,4720.26,2562616,7.53,78434.96,2726.11,164096,3.48,0.478,Undervalued,Enterprise
136,1683.69,2810241,43.37,13313.9,10312.34,74562,77.46,0.1786,Overvalued,Medium
137,2642.07,3533803,15.15,79957.19,3969.51,155061,4.96,0.5156,Fair Value,Enterprise
138,3544.79,1242953,21.96,61975.28,1954.6,54775,3.15,1.1315,Fair Value,Medium
139,1881.79,4061352,25.78,84484.53,8268.87,73691,9.79,1.1465,Fair Value,Medium
140,4861.73,4078702,26.64,10653.92,3350.4,153806,31.45,0.0693,Fair Value,Enterprise
141,4815.99,4159175,24.58,56339.08,4513.46,32463,8.01,1.7355,Fair Value,Small
142,1333.73,426916,47.18,50607.7,6419.34,194924,12.68,0.2596,Overvalued,Enterprise
143,2536.52,3697706,36.77,70913.13,5261.83,77104,7.42,0.9197,Overvalued,Medium
144,1574.3,4606554,33.4,53894.76,1843.07,187570,3.42,0.2873,Overvalued,Enterprise
145,1495.72,705409,7.24,54532.72,1889.33,40818,3.46,1.336,Undervalued,Small
146,280.75,1174135,45.68,43530.0,3945.66,113727,9.06,0.3828,Overvalued,Large
147,3086.87,3089179,45.92,31574.61,1106.13,26970,3.5,1.1707,Overvalued,Small
148,2563.13,1825690,40.11,48744.17,12566.49,37494,25.78,1.3001,Overvalued,Small
149,352.25,3380772,5.32,12730.74,5817.8,52157,45.7,0.2441,Undervalued,Medium
150,1465.37,4257893,7.58,96189.82,5666.94,79895,5.89,1.204,Undervalued,Medium
151,4550.5,503119,15.14,71726.67,6706.77,80509,9.35,0.8909,Fair Value,Medium
152,1273.85,4266769,10.91,95294.24,13289.65,13116,13.95,7.2655,Undervalued,Small
153,809.98,4420295,22.95,23446.01,17425.61,42237,74.32,0.5551,Fair Value,Small
154,2498.32,502732,46.52,88054.76,15205.83,131325,17.27,0.6705,Overvalued,Large
155,4929.69,606079,26.24,81070.21,14577.83,139025,17.98,0.5831,Fair Value,Large
156,1286.07,2050013,5.6,68038.09,9739.38,12479,14.31,5.4522,Undervalued,Small
157,3393.46,2723836,17.72,62877.89,13906.73,146964,22.12,0.4278,Fair Value,Large
158,3831.94,1232658,7.01,32338.42,11099.97,121269,34.32,0.2667,Undervalued,Large
159,1264.42,2085209,6.63,81824.67,4403.39,169539,5.38,0.4826,Undervalued,Enterprise
160,3668.26,4422626,17.41,50650.03,4250.91,149272,8.39,0.3393,Fair Value,Large
161,1902.14,756951,17.4,8018.27,5998.2,126182,74.81,0.0635,Fair Value,Large
162,3198.3,111303,40.42,31973.45,18224.97,113189,57.0,0.2825,Overvalued,Large
163,3204.3,1310209,48.87,93594.41,10993.56,194628,11.75,0.4809,Overvalued,Enterprise
164,2725.3,3579591,21.7,85217.35,14704.72,11149,17.26,7.6435,Fair Value,Small
165,542.42,2466610,24.3,98208.66,6996.52,131958,7.12,0.7442,Fair Value,Large
166,4192.98,4280303,43.02,63171.34,8213.54,161871,13.0,0.3903,Overvalued,Enterprise
167,1671.82,1168199,17.07,25503.5,2598.76,122884,10.19,0.2075,Fair Value,Large
168,1013.94,4276224,12.04,17118.69,3508.77,47791,20.5,0.3582,Undervalued,Small
169,299.8,4784346,43.39,19504.53,16564.4,168212,84.93,0.116,Overvalued,Enterprise
170,2995.38,558298,7.09,2959.77,11738.29,58086,396.59,0.051,Undervalued,Medium
171,3420.07,1147343,32.89,39677.53,6816.9,169934,17.18,0.2335,Overvalued,Enterprise
172,181.28,205228,30.29,19951.34,16076.74,154772,80.58,0.1289,Overvalued,Enterprise
173,2609.26,4720650,20.57,41753.89,5005.75,94874,11.99,0.4401,Fair Value,Medium
174,1209.83,1855692,19.18,93564.45,19523.05,150982,20.87,0.6197,Fair Value,Enterprise
175,3261.35,984056,39.73,43623.48,6961.87,105415,15.96,0.4138,Overvalued,Large
176,954.4,1830228,8.89,87920.47,6812.49,57304,7.75,1.5343,Undervalued,Medium
177,3485.59,2046793,15.66,60944.97,6307.05,20185,10.35,3.0193,Fair Value,Small
178,1995.0,1669123,37.96,25466.02,2530.02,178026,9.93,0.143,Overvalued,Enterprise
179,4689.98,3379269,29.67,36229.62,2311.63,170951,6.38,0.2119,Fair Value,Enterprise
180,773.85,1826470,10.76,9308.03,12997.29,187379,139.64,0.0497,Undervalued,Enterprise
181,1771.23,3440420,44.7,34012.8,17514.85,34080,51.49,0.998,Overvalued,Small
182,656.02,148874,22.71,68076.55,15831.36,56217,23.26,1.211,Fair Value,Medium
183,4631.0,1722572,42.25,8139.0,2908.04,145313,35.73,0.056,Overvalued,Large
184,4398.96,3320281,40.45,21334.74,10957.08,140516,51.36,0.1518,Overvalued,Large
185,1363.91,2789784,33.1,38762.66,2201.27,15996,5.68,2.4233,Overvalued,Small
186,3333.92,809662,27.25,98222.9,1001.36,89453,1.02,1.098,Fair Value,Medium
187,4104.39,4972554,49.08,78701.32,13162.08,29913,16.72,2.631,Overvalued,Small
188,2820.48,570452,11.52,73615.19,10749.53,65779,14.6,1.1191,Undervalued,Medium
189,2695.29,2239686,37.63,12502.9,1732.27,141853,13.85,0.0881,Overvalued,Large
190,1285.08,2692670,13.6,78318.59,795.29,3328,1.02,23.5332,Undervalued,Small
191,556.2,4910833,20.22,78741.61,19796.15,135754,25.14,0.58,Fair Value,Large
192,4496.36,542061,18.89,60509.17,697.42,11497,1.15,5.263,Fair Value,Small
193,4512.05,3434732,47.62,99045.82,8946.11,169971,9.03,0.5827,Overvalued,Enterprise
194,3202.2,3861675,48.53,33200.14,10141.92,37111,30.55,0.8946,Overvalued,Small
195,1761.25,2361286,13.24,94185.97,2433.87,79283,2.58,1.188,Undervalued,Medium
196,1811.13,588972,5.99,91558.38,3464.33,93354,3.78,0.9808,Undervalued,Medium
197,3657.18,1223994,37.4,2136.59,7100.92,175436,332.35,0.0122,Overvalued,Enterprise
198,4495.84,3181328,23.81,45561.54,15257.35,42417,33.49,1.0741,Fair Value,Small
199,4446.72,4198064,9.0,97733.32,10190.94,179086,10.43,0.5457,Undervalued,Enterprise
200,3921.39,2717703,35.77,11209.01,12794.25,102589,114.14,0.1093,Overvalued,Large
201,3245.96,263038,29.53,55230.68,19704.97,176426,35.68,0.3131,Fair Value,Enterprise
202,512.29,4063735,49.12,97916.79,15383.31,40196,15.71,2.436,Overvalued,Small
203,891.98,1474572,15.23,55994.05,8743.79,53885,15.62,1.0391,Fair Value,Medium
204,4502.92,2455874,23.18,19791.71,8984.19,52444,45.39,0.3774,Fair Value,Medium
205,3071.5,700530,29.41,58636.14,12413.56,120482,21.17,0.4867,Fair Value,Large
206,145.07,3748966,40.63,21239.62,13340.77,199718,62.81,0.1063,Overvalued,Enterprise
207,597.21,1177833,29.7,52450.72,10064.15,196775,19.19,0.2666,Fair Value,Enterprise
208,3351.16,2677640,32.58,8330.18,12932.74,159584,155.25,0.0522,Overvalued,Enterprise
209,124.8,535423,15.18,60942.78,568.3,110589,0.93,0.5511,Fair Value,Large
210,887.96,1292929,43.11,52162.2,8649.49,182830,16.58,0.2853,Overvalued,Enterprise
211,2788.8,423390,24.29,74275.98,5650.87,180721,7.61,0.411,Fair Value,Enterprise
212,3490.29,1764221,11.34,63439.35,2670.57,11649,4.21,5.4459,Undervalued,Small
213,3294.61,4168316,34.89,55411.02,2080.98,25839,3.76,2.1445,Overvalued,Small
214,1198.92,1756671,14.72,69288.11,12103.52,21309,17.47,3.2516,Undervalued,Small
215,3589.68,238563,9.39,15250.25,10519.65,107151,68.98,0.1423,Undervalued,Large
216,1262.52,883066,43.79,59940.61,5146.32,15216,8.59,3.9393,Overvalued,Small
217,1694.46,1654623,25.71,18038.95,9471.91,20145,52.51,0.8955,Fair Value,Small
218,3757.81,4999856,38.72,92626.7,9895.42,157499,10.68,0.5881,Overvalued,Enterprise
219,3283.2,4155957,18.08,7765.08,3980.68,35809,51.26,0.2168,Fair Value,Small
220,4261.19,697897,40.41,43607.1,13076.65,43717,29.99,0.9975,Overvalued,Small
221,3322.3,4041237,10.04,69883.95,15640.3,191311,22.38,0.3653,Undervalued,Enterprise
222,2884.71,872800,21.02,46344.2,15850.12,158077,34.2,0.2932,Fair Value,Enterprise
223,559.01,2142999,49.01,10117.43,12089.15,195320,119.49,0.0518,Overvalued,Enterprise
224,1901.81,3622554,40.73,55784.52,10281.61,119879,18.43,0.4653,Overvalued,Large
225,1399.49,3759985,27.38,64521.56,1314.04,43019,2.04,1.4998,Fair Value,Small
226,1295.55,2002897,20.29,70675.44,5827.84,83621,8.25,0.8452,Fair Value,Medium
227,4867.75,3676511,44.25,37952.72,1956.1,189618,5.15,0.2002,Overvalued,Enterprise
228,2026.18,1263950,29.52,56802.34,19280.08,183600,33.94,0.3094,Fair Value,Enterprise
229,4471.03,649148,39.13,45617.96,2788.09,179066,6.11,0.2548,Overvalued,Enterprise
230,3192.58,2873707,38.93,67533.55,3120.33,6547,4.62,10.3152,Overvalued,Small
231,3994.58,4778394,5.81,58772.14,17802.57,5599,30.29,10.4969,Undervalued,Small
232,2562.92,2873939,10.68,53049.87,18884.17,39141,35.6,1.3554,Undervalued,Small
233,2926.83,2035740,34.68,25702.91,15340.0,31415,59.68,0.8182,Overvalued,Small
234,2513.34,3534955,12.27,1199.83,207.56,132471,17.3,0.0091,Undervalued,Large
235,1056.69,2845226,16.5,18234.09,126.79,120606,0.7,0.1512,Fair Value,Large
236,3640.02,3277326,47.6,12589.54,7624.21,136166,60.56,0.0925,Overvalued,Large
237,1475.78,1654510,30.21,45459.39,2953.57,138661,6.5,0.3278,Overvalued,Large
238,219.15,1930815,38.78,61613.56,465.88,91747,0.76,0.6716,Overvalued,Medium
239,3262.81,3863122,30.11,22095.42,9334.93,32455,42.25,0.6808,Overvalued,Small
240,967.84,2486378,29.86,93966.65,18866.93,73905,20.08,1.2715,Fair Value,Medium
241,4708.25,4521590,9.24,1661.53,6544.01,68467,393.85,0.0243,Undervalued,Medium
242,4774.25,2634937,20.46,77457.8,13256.7,110006,17.11,0.7041,Fair Value,Large
243,4582.84,3257473,17.71,62895.27,13079.48,117509,20.8,0.5352,Fair Value,Large
244,1913.78,912461,22.58,37981.93,5096.49,77455,13.42,0.4904,Fair Value,Medium
245,175.74,4527036,40.93,5998.41,13043.46,116320,217.45,0.0516,Overvalued,Large
246,4648.76,4155555,21.74,63121.17,4325.45,87273,6.85,0.7233,Fair Value,Medium
247,2198.1,1818224,25.33,39175.74,2527.95,2096,6.45,18.6907,Fair Value,Small
248,4836.61,2810626,22.88,93690.45,14057.53,44487,15.0,2.106,Fair Value,Small
249,4821.74,1024044,9.2,54657.02,2357.47,3189,4.31,17.1392,Undervalued,Small
250,4279.75,3081352,24.85,94025.5,19938.49,98927,21.21,0.9505,Fair Value,Medium
251,1542.8,1486652,13.8,22827.89,3750.7,20759,16.43,1.0997,Undervalued,Small
252,1986.98,385555,13.4,72846.87,11923.42,45278,16.37,1.6089,Undervalued,Small
253,4270.57,544191,9.23,62107.65,8286.35,96065,13.34,0.6465,Undervalued,Medium
254,1652.92,1602337,21.05,74201.41,2615.09,81368,3.52,0.9119,Fair Value,Medium
255,930.51,3586669,39.09,22252.12,654.09,85142,2.94,0.2614,Overvalued,Medium
256,2828.33,1020597,17.44,66834.46,12492.37,106571,18.69,0.6271,Fair Value,Large
257,4687.16,2143338,19.06,50306.0,16154.48,70211,32.11,0.7165,Fair Value,Medium
258,3510.55,3822946,33.92,74539.67,16856.11,165737,22.61,0.4497,Overvalued,Enterprise
259,2893.3,1586205,13.81,33377.42,9706.0,100535,29.08,0.332,Undervalued,Large
260,576.16,2965899,45.36,89115.65,15571.36,89342,17.47,0.9975,Overvalued,Medium
261,3113.54,324695,28.41,9345.83,13489.66,113304,144.34,0.0825,Fair Value,Large
262,4951.26,3081467,25.14,80911.74,14512.67,154056,17.94,0.5252,Fair Value,Enterprise
263,786.41,3541628,30.1,86270.64,9902.72,17299,11.48,4.987,Overvalued,Small
264,2639.82,1201844,12.47,81907.98,12704.89,60138,15.51,1.362,Undervalued,Medium
265,4399.13,4867493,32.61,51759.91,16129.97,57886,31.16,0.8942,Overvalued,Medium
266,3729.77,1510706,21.34,44400.11,8017.9,109736,18.06,0.4046,Fair Value,Large
267,3515.38,3440216,45.37,99629.97,16138.98,49394,16.2,2.017,Overvalued,Small
268,3542.17,3933284,12.6,23688.02,11881.14,165350,50.16,0.1433,Undervalued,Enterprise
269,1861.51,4957088,27.82,55140.72,3401.43,143837,6.17,0.3834,Fair Value,Large
270,1538.6,1947865,31.92,67396.88,591.21,634,0.88,106.3042,Overvalued,Small
271,4065.87,1019484,6.5,70385.9,7318.8,91928,10.4,0.7657,Undervalued,Medium
272,4069.56,4997954,21.37,21198.44,10979.26,36232,51.79,0.5851,Fair Value,Small
273,4348.65,4117136,37.97,65745.42,16812.43,115820,25.57,0.5677,Overvalued,Large
274,4574.88,444855,41.92,82018.59,2636.97,36210,3.22,2.2651,Overvalued,Small
275,2605.58,1174961,19.09,5951.84,16024.11,189926,269.23,0.0313,Fair Value,Enterprise
276,2557.43,4725678,40.94,91240.61,17273.88,63680,18.93,1.4328,Overvalued,Medium
277,4011.65,3661963,48.55,3920.9,3098.68,153641,79.03,0.0255,Overvalued,Enterprise
278,3284.82,2477935,43.56,36241.13,17046.73,64116,47.04,0.5652,Overvalued,Medium
279,3539.64,1234106,10.29,2565.51,19829.93,46333,772.94,0.0554,Undervalued,Small
280,3999.38,4578011,38.29,8637.37,14564.09,129963,168.62,0.0665,Overvalued,Large
281,4461.03,2574968,19.39,91205.66,15716.92,197880,17.23,0.4609,Fair Value,Enterprise
282,1756.18,2542266,49.48,36131.22,19888.86,189404,55.05,0.1908,Overvalued,Enterprise
283,1940.36,4537677,26.84,43052.38,12149.08,106411,28.22,0.4046,Fair Value,Large
284,560.51,4642001,10.51,22319.09,6226.94,34509,27.9,0.6468,Undervalued,Small
285,2933.57,1318758,37.63,60112.48,16766.86,150496,27.89,0.3994,Overvalued,Enterprise
286,276.12,1755743,19.54,59885.52,12328.27,139910,20.59,0.428,Fair Value,Large
287,2381.43,4077019,49.87,37847.84,11665.79,24154,30.82,1.5669,Overvalued,Small
288,2758.96,3168281,49.09,33970.45,5147.35,29809,15.15,1.1396,Overvalued,Small
289,1504.05,4625208,34.53,88611.47,15151.05,109421,17.1,0.8098,Overvalued,Large
290,2995.08,618349,10.84,38945.14,1725.18,463,4.43,84.1148,Undervalued,Small
291,249.45,2981990,35.91,49856.6,18493.31,10458,37.09,4.7673,Overvalued,Small
292,283.01,897968,9.19,29047.17,6583.89,134412,22.67,0.2161,Undervalued,Large
293,4130.74,179083,6.32,78890.18,2642.72,45789,3.35,1.7229,Undervalued,Small
294,1864.93,2755971,42.03,40347.37,8903.09,2036,22.07,19.817,Overvalued,Small
295,722.6,4097615,14.44,51847.49,945.15,112372,1.82,0.4614,Undervalued,Large
296,2658.99,2974299,22.06,26082.36,13724.06,91174,52.62,0.2861,Fair Value,Medium
297,3872.97,4948341,48.81,98778.3,18063.84,175137,18.29,0.564,Overvalued,Enterprise
298,1157.52,1904673,20.16,29858.08,16761.53,982,56.14,30.4054,Fair Value,Small
299,3152.16,3038199,18.34,77303.51,2634.65,151396,3.41,0.5106,Fair Value,Enterprise
